Date	Price	Open	High	Low	Vol.	Change %
12/28/2023	252	252	252	252	2.00K	0.00%
12/27/2023	252	252	252	252	1.68K	0.00%
12/26/2023	252	252	252	252	3.39K	0.00%
12/24/2023	252	252	252	252	0.36K	0.00%
12/21/2023	252	252	252.5	252	8.95K	0.00%
12/20/2023	252	252	252	252	9.97K	0.00%
12/19/2023	252	252	252	252	1.86K	0.00%
12/18/2023	252	252	253	252	6.48K	-0.08%
12/17/2023	252.2	252	253.1	252	16.77K	0.00%
12/14/2023	252.2	252	255	252	11.02K	0.08%
12/13/2023	252	252.8	253	252	12.84K	-0.12%
12/12/2023	252.3	253.1	254	252.2	6.56K	-0.39%
12/11/2023	253.3	252.6	254.5	252	19.04K	0.52%
12/10/2023	252	253.2	255.8	252	18.40K	-0.47%
12/7/2023	253.2	256	256.4	252.4	12.16K	0.44%
12/6/2023	252.1	252	257	252	20.04K	0.04%
12/5/2023	252	252	252	252	14.53K	0.00%
12/4/2023	252	252	252	252	2.39K	0.00%
12/3/2023	252	252	252	252	1.01K	0.00%
11/30/2023	252	252	252	252	0.23K	0.00%
11/29/2023	252	252	252	252	1.09K	0.00%
11/28/2023	252	252	252	252	0.48K	0.00%
11/27/2023	252	252	252	252	0.62K	0.00%
11/26/2023	252	252	252	252	1.10K	0.00%
11/23/2023	252	252	252	252	1.17K	0.00%
11/22/2023	252	252	252	252	0.34K	0.00%
11/21/2023	252	252	252	252	7.47K	0.00%
11/20/2023	252	252	252	252	0.86K	-0.08%
11/16/2023	252.2	252	254	252	38.23K	-0.24%
11/15/2023	252.8	252.1	254.4	252	28.38K	0.24%
11/14/2023	252.2	252.2	254	252.2	15.12K	0.00%
11/13/2023	252.2	253.2	256.7	252	25.24K	-0.63%
11/12/2023	253.8	253.6	256.6	253.5	8.21K	-0.39%
11/9/2023	254.8	259.5	260	254	18.43K	0.24%
11/8/2023	254.2	263.2	264.8	253	38.22K	-2.53%
11/7/2023	260.8	263.7	263.7	258.2	27.22K	0.35%
11/6/2023	259.9	252	261.8	252	54.09K	3.13%
11/5/2023	252	252	252	252	11.27K	0.00%
11/2/2023	252	252.1	254	252	22.42K	-0.04%
11/1/2023	252.1	255.3	255.3	252	28.36K	-0.67%
10/31/2023	253.8	252.3	256.7	252	29.97K	-0.24%
10/30/2023	254.4	262.9	262.9	252	78.34K	0.32%
10/29/2023	253.6	265	267.9	252.9	86.18K	-4.77%
10/26/2023	266.3	277	277	265.1	52.47K	-2.99%
10/25/2023	274.5	270.4	277	266	85.47K	2.50%
10/23/2023	267.8	269.8	276	264.5	43.40K	0.75%
10/22/2023	265.8	275	279	264.9	92.68K	-3.42%
10/19/2023	275.2	280	285	274.3	48.63K	-1.68%
10/18/2023	279.9	278.1	283	275.7	69.33K	0.65%
10/17/2023	278.1	273.8	280	271	75.22K	2.66%
10/16/2023	270.9	268	275	265.3	29.33K	1.92%
10/15/2023	265.8	268	268.8	265	6.04K	0.34%
10/12/2023	264.9	264.8	269.9	263.8	13.41K	0.04%
10/11/2023	264.8	265	266.7	263.1	11.24K	0.23%
10/10/2023	264.2	262	267	262	4.65K	0.23%
10/9/2023	263.6	265.1	268.5	263	29.84K	-0.72%
10/8/2023	265.5	271	271	265	17.38K	-1.67%
10/5/2023	270	271.4	272.2	268	15.67K	-0.18%
10/4/2023	270.5	271.5	273.8	270.1	8.75K	-0.70%
10/3/2023	272.4	273.1	278.5	271	41.47K	0.52%
